id,common_name,scientific_name,date,time,count,longitude,latitude,location,observer,group_name,date_only
369048707,Fly unknown/Mosquito unknown/Midge unknown,Diptera indet.,2025-08-17,15:22,1,4.945191499999964,52.3582759,Amsterdam - Flevopark,Cornelis Splinter,Flies,2025-08-17
369048462,,Rhagio tringarius,2025-08-17,15:21,1,4.9016283,52.3328017,Amsterdam - Volkstuincomplex Amstelglorie,C.van Haagen,Flies,2025-08-17
369041222,,Tipula lateralis,2025-08-17,11:45,1,4.820626974105835,52.32375618148122,Amsterdamse Bos - Bosbaan / Duizendmeterweg,Manu de Keerl,Flies,2025-08-17
369042946,,Eumerus spec.,2025-08-17,14:51,1,4.8929154,52.3352588,Amsterdam - Amstelpark,C.van Haagen,Flies,2025-08-17
369040207,Stripe-faced Drone Fly,Eristalis nemorum,2025-08-17,14:39,1,4.9207174,52.290372,Ouderkerk aan de Amstel - Ouderkerkerplas,Albert Vermeij,Flies,2025-08-17
369039004,Yellow-winged Blacklet,Cheilosia impressa,2025-08-17,14:34,1,5.0006134,52.3432271,Amsterdam - Diemerpark,Cornelis Splinter,Flies,2025-08-17
369038266,Marmalade Hoverfly,Episyrphus balteatus,2025-08-17,14:31,1,4.999916553497314,52.34298762304777,Amsterdam - Diemerpark,Cornelis Splinter,Flies,2025-08-17
369037255,Common Drone Fly,Eristalis tenax,2025-08-17,14:25,1,4.807358333333333,52.375971666666665,Amsterdam - Geuzenveld,Josje,Flies,2025-08-17
369036973,,Stomorhina lunata,2025-08-17,14:24,1,4.9094797,52.3309723,Amsterdam - Volkstuincomplex Amstelglorie,Edial Dekker,Flies,2025-08-17
369036918,,Coenosia spec.,2025-08-17,14:23,1,4.908618927001953,52.3331413269043,Amsterdam - Volkstuincomplex Amstelglorie,Geert van Poelgeest,Flies,2025-08-17
369036587,,Eristalis arbustorum/abusiva,2025-08-17,14:22,1,5.070615476463448,52.32603716893656,Muiden - Mariahoeve,Ronald Hofmeester,Flies,2025-08-17
369035425,,Minettia longipennis,2025-08-17,14:16,1,4.9096705,52.3309187,Amsterdam - Volkstuincomplex Amstelglorie,Els Trautwein,Flies,2025-08-17
369035326,Common Drone Fly,Eristalis tenax,2025-08-17,14:16,1,5.07072737440939,52.32601161119776,Muiden - Mariahoeve,Ronald Hofmeester,Flies,2025-08-17
369033948,,Limnophora tigrina,2025-08-17,14:09,1,5.0008606,52.3433524,Amsterdam - Diemerpark,Cornelis Splinter,Flies,2025-08-17
369032411,Stripe-faced Drone Fly,Eristalis nemorum,2025-08-17,14:02,1,4.907791614532471,52.33333969116211,Amsterdam - Volkstuincomplex Amstelglorie,Geert van Poelgeest,Flies,2025-08-17
369032263,Tiger Marsh Fly,Helophilus pendulus,2025-08-17,13:41,1,4.9306611,52.2370383,Vinkeveen - Vinkeveense Plassen,Aad van Mil,Flies,2025-08-17
369032033,,Ptychoptera contaminata,2025-08-17,14:01,1,4.7984252,52.4305309,Zaandam - Volkstuinen Westzanerdijk/Jan Vroegop,Jan Zorgdrager,Flies,2025-08-17
369031627,,Opomyza germinationis/petrei,2025-08-17,13:59,1,4.798432299722222,52.43052399972222,Zaandam - Volkstuinen Westzanerdijk/Jan Vroegop,Jan Zorgdrager,Flies,2025-08-17
369030649,Common Drone Fly,Eristalis tenax,2025-08-17,13:56,1,4.907925128936768,52.33330535888672,Amsterdam - Volkstuincomplex Amstelglorie,Geert van Poelgeest,Flies,2025-08-17
369030653,Cluster Fly unknown,Pollenia spec.,2025-08-17,13:55,1,4.907929420471191,52.3333625793457,Amsterdam - Volkstuincomplex Amstelglorie,Geert van Poelgeest,Flies,2025-08-17
369030585,,Rhopalomyia tanaceticola,2025-08-17,13:56,1,4.8310205,52.2959089,Amsterdamse Bos - Schotse Hooglanders / Camping,Yentel,Flies,2025-08-17
369030396,Variable Duskyface,Melanostoma mellinum,2025-08-17,13:55,1,4.7991491,52.43059519972222,Zaandam - Westerspoor,Jan Zorgdrager,Flies,2025-08-17
369030303,,Lucilia spec.,2025-08-17,13:54,1,4.9099423,52.3307748,Amsterdam - Volkstuincomplex Amstelglorie,Edial Dekker,Flies,2025-08-17
